Variable,Description,Long,Type,ESTMOE,Source,Table,Table2,Years,Release,Category,Topic,Universe,Notes,API
TotalHH_e19,Total households,"# Total households, 2019",Count,Estimate,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
TotalHH_m19,Total households,"# Total households, 2019 (MOE)",Count,MOE,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
FamHH_e19,Family households,"# Family households, 2019",Count,Estimate,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
FamHH_m19,Family households,"# Family households, 2019 (MOE)",Count,MOE,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pFamHH_e19,Family households,"% Family households, 2019",Percent,Estimate,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pFamHH_m19,Family households,"% Family households, 2019 (MOE)",Percent,MOE,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MarriedCouple_e19,Married-couple families,"# Married-couple families, 2019",Count,Estimate,ACS,B11003,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MarriedCouple_m19,Married-couple families,"# Married-couple families, 2019 (MOE)",Count,MOE,ACS,B11003,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMarriedCouple_e19,Married-couple families,"% Married-couple families, 2019",Percent,Estimate,ACS,B11003,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMarriedCouple_m19,Married-couple families,"% Married-couple families, 2019 (MOE)",Percent,MOE,ACS,B11003,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MaleHeadedFam_e19,"Male headed families, no wife present","# Male headed families, no wife present, 2019",Count,Estimate,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MaleHeadedFam_m19,"Male headed families, no wife present","# Male headed families, no wife present, 2019 (MOE)",Count,MOE,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMaleHeadedFam_e19,"Male headed families, no wife present","% Male headed families, no wife present, 2019",Percent,Estimate,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMaleHeadedFam_m19,"Male headed families, no wife present","% Male headed families, no wife present, 2019 (MOE)",Percent,MOE,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
FemaleHeadedFam_e19,"Female headed families, no husband present","# Female headed families, no husband present, 2019",Count,Estimate,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
FemaleHeadedFam_m19,"Female headed families, no husband present","# Female headed families, no husband present, 2019 (MOE)",Count,MOE,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pFemaleHeadedFam_e19,"Female headed families, no husband present","% Female headed families, no husband present, 2019",Percent,Estimate,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pFemaleHeadedFam_m19,"Female headed families, no husband present","% Female headed families, no husband present, 2019 (MOE)",Percent,MOE,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
NonFamHH_e19,Nonfamily households,"# Nonfamily households, 2019",Count,Estimate,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
NonFamHH_m19,Nonfamily households,"# Nonfamily households, 2019 (MOE)",Count,MOE,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pNonFamHH_e19,Nonfamily households,"% Nonfamily households, 2019",Percent,Estimate,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pNonFamHH_m19,Nonfamily households,"% Nonfamily households, 2019 (MOE)",Percent,MOE,ACS,B11001,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MarriedOwnChild_e19,Married-couple families with own children of the householder,"# Married-couple families with own children of the householder, 2019",Count,Estimate,ACS,B11003,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MarriedOwnChild_m19,Married-couple families with own children of the householder,"# Married-couple families with own children of the householder, 2019 (MOE)",Count,MOE,ACS,B11003,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMarriedOwnChild_e19,Married-couple families with own children of the householder,"% Married-couple families with own children of the householder, 2019",Percent,Estimate,ACS,B11003,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMarriedOwnChild_m19,Married-couple families with own children of the householder,"% Married-couple families with own children of the householder, 2019 (MOE)",Percent,MOE,ACS,B11003,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
CohabitCouple_e19,Cohabiting couple household,"# Cohabiting couple household, 2019",Count,Estimate,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
CohabitCouple_m19,Cohabiting couple household,"# Cohabiting couple household, 2019 (MOE)",Count,MOE,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pCohabitCouple_e19,Cohabiting couple household,"% Cohabiting couple household, 2019",Percent,Estimate,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pCohabitCouple_m19,Cohabiting couple household,"% Cohabiting couple household, 2019 (MOE)",Percent,MOE,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
CohabitOwnChild_e19,Cohabiting couple with own children of the householder,"# Cohabiting couple with own children of the householder, 2019",Count,Estimate,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
CohabitOwnChild_m19,Cohabiting couple with own children of the householder,"# Cohabiting couple with own children of the householder, 2019 (MOE)",Count,MOE,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pCohabitOwnChild_e19,Cohabiting couple with own children of the householder,"% Cohabiting couple with own children of the householder, 2019",Percent,Estimate,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pCohabitOwnChild_m19,Cohabiting couple with own children of the householder,"% Cohabiting couple with own children of the householder, 2019 (MOE)",Percent,MOE,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MaleNoSpouse_e19,"Male householder, no spouse/partner present","# Male householder, no spouse/partner present, 2019",Count,Estimate,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MaleNoSpouse_m19,"Male householder, no spouse/partner present","# Male householder, no spouse/partner present, 2019 (MOE)",Count,MOE,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMaleNoSpouse_e19,"Male householder, no spouse/partner present","% Male householder, no spouse/partner present, 2019",Percent,Estimate,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMaleNoSpouse_m19,"Male householder, no spouse/partner present","% Male householder, no spouse/partner present, 2019 (MOE)",Percent,MOE,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MaleNoSpouseOwnCh_e19,"Male-headed families, no spouse present with own children","# Male-headed families, no spouse present with own children, 2019",Count,Estimate,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MaleNoSpouseOwnCh_m19,"Male-headed families, no spouse present with own children","# Male-headed families, no spouse present with own children, 2019 (MOE)",Count,MOE,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMaleNoSpouseOwnCh_e19,"Male-headed families, no spouse present with own children","% Male-headed families, no spouse present with own children, 2019",Percent,Estimate,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMaleNoSpouseOwnCh_m19,"Male-headed families, no spouse present with own children","% Male-headed families, no spouse present with own children, 2019 (MOE)",Percent,MOE,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MaleAlone_e19,Male householder living alone,"# Male householder living alone, 2019",Count,Estimate,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MaleAlone_m19,Male householder living alone,"# Male householder living alone, 2019 (MOE)",Count,MOE,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMaleAlone_e19,Male householder living alone,"% Male householder living alone, 2019",Percent,Estimate,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMaleAlone_m19,Male householder living alone,"% Male householder living alone, 2019 (MOE)",Percent,MOE,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MaleAlone65P_e19,Male householder 65 years and over living alone,"# Male householder 65 years and over living alone, 2019",Count,Estimate,ACS,B11010,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
MaleAlone65P_m19,Male householder 65 years and over living alone,"# Male householder 65 years and over living alone, 2019 (MOE)",Count,MOE,ACS,B11010,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMaleAlone65P_e19,Male householder 65 years and over living alone,"% Male householder 65 years and over living alone, 2019",Percent,Estimate,ACS,B11010,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pMaleAlone65P_m19,Male householder 65 years and over living alone,"% Male householder 65 years and over living alone, 2019 (MOE)",Percent,MOE,ACS,B11010,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
FemaleNoSpouse_e19,"Female householder, no spouse/partner present","# Female householder, no spouse/partner present, 2019",Count,Estimate,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
FemaleNoSpouse_m19,"Female householder, no spouse/partner present","# Female householder, no spouse/partner present, 2019 (MOE)",Count,MOE,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pFemaleNoSpouse_e19,"Female householder, no spouse/partner present","% Female householder, no spouse/partner present, 2019",Percent,Estimate,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
pFemaleNoSpouse_m19,"Female householder, no spouse/partner present","% Female householder, no spouse/partner present, 2019 (MOE)",Percent,MOE,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
FemaleNoSpouseOwnCh_e19,"Female-headed families, no spouse present with own children","# Female-headed families, no spouse present with own children, 2019",Count,Estimate,ACS,B11012,,2019,5,Social,Household Composition,Households,,ACSAllGeo2019-Social
