Variable,Description,Long,Type,ESTMOE,Source,Table,Table2,Years,Release,Category,Topic,Universe,Notes,API
ENROLLMENT_COUNT,Fall Full-time Equivalent Count,"Fall Full-time Equivalent Count, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
ENROLL_PERCENT_ASIAN,Asian,"% Asian, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
ENROLL_PERCENT_NATIVE,Native American,"% Native American, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
ENROLL_PERCENT_BLACK,Black or African-American,"% Black or African-American, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
ENROLL_PERCENT_HISPANIC,Hispanic or Latino,"% Hispanic or Latino, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
ENROLL_PERCENT_MULTIRACIAL,Multiracial,"% Multiracial, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
ENROLL_PERCENT_WHITE,White,"% White, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
ENROLL_PERCENT_MIGRANT,Migrant,"% Migrant, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
ENROLL_PERCENT_ED,Economically Disadvantaged,"% Economically Disadvantaged, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
ENROLL_PERCENT_SWD,Students with Disabilities,"% Students with Disabilities, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
ENROLL_PERCENT_LEP,Limited English Proficiency,"% Limited English Proficiency, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
ENROLL_PCT_ESOL,English as a Second Language,"% English as a Second Language, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
ENROLL_PCT_GIFTED,Partcipating Gifted program,"% Partcipating Gifted program, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
direct_cert_perc,Poverty (Directly Certified Students),"% Poverty (Directly Certified Students), 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
pAbsent0_5,Absent 0-5 days,"% Absent 0-5 days, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_Elem_Schools_2019
pAbsent6_15,Absent 6-15 days,"% Absent 6-15 days, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_Elem_Schools_2019
pAbsent16P,Absent 16 or more days,"% Absent 16 or more days, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_Elem_Schools_2019
Churn,Student Mobility Rate,"Student Mobility Rate, 2019",Rate,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
TeacherCount,Teacher count,"Teacher count, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Elem_Schools_2019
AvgExp,Average years of teacher experience,"Average years of teacher experience, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Elem_Schools_2019
pYrsLt1,Teachers with <1 year experience,"% Teachers with <1 year experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Elem_Schools_2019
pYears1_10,Teachers with 1-10 years experience,"% Teachers with 1-10 years experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Elem_Schools_2019
pYears11_20,Teachers with 11-20 years experience,"% Teachers with 11-20 years experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Elem_Schools_2019
pYears21_30,Teachers with 21-30 years experience,"% Teachers with 21-30 years experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Elem_Schools_2019
pYearsGt30,Teachers with >30 years experience,"% Teachers with >30 years experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Elem_Schools_2019
Debt,Debt Services: $ per Full-time Equivalent,"Debt Services: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Elem_Schools_2019
GenAdmin,General Administration: $ per Full-time Equivalent,"General Administration: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Elem_Schools_2019
Instruction,Instruction: $ per Full-time Equivalent,"Instruction: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Elem_Schools_2019
Support,Instructional Support: $ per Full-time Equivalent,"Instructional Support: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Elem_Schools_2019
Ops,Maintenance and Operations: $ per Full-time Equivalent,"Maintenance and Operations: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Elem_Schools_2019
Media,Media: $ per Full-time Equivalent,"Media: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Elem_Schools_2019
PServices,Pupil Services: $ per Full-time Equivalent,"Pupil Services: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Elem_Schools_2019
Capital,Renovation and Capital Projects: $ per Full-time Equivalent,"Renovation and Capital Projects: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Elem_Schools_2019
TestedAll,Fitness Tested: All,"# Fitness Tested: All, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Elem_Schools_2019
AverageAll,Average Fitness Score: All,"Average Fitness Score: All, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Elem_Schools_2019
InHFZ,in Healthy Fitness Zone: All,"# in Healthy Fitness Zone: All, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Elem_Schools_2019
pInHFZ,in Healthy Fitness Zone: All,"% in Healthy Fitness Zone: All, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Elem_Schools_2019
TestedMale,Fitness Tested: Male,"# Fitness Tested: Male, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Elem_Schools_2019
AverageMale,Average Fitness Score: Male,"Average Fitness Score: Male, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Elem_Schools_2019
InHFZMale,in Healthy Fitness Zone: Male,"# in Healthy Fitness Zone: Male, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Elem_Schools_2019
pInHFZMale,in Healthy Fitness Zone: Male,"% in Healthy Fitness Zone: Male, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Elem_Schools_2019
