Variable,Description,Long,Type,ESTMOE,Source,Table,Table2,Years,Release,Category,Topic,Universe,Notes,API
TotalPop_2020,Total population,"# Total population, 2020",Count,,Census 2020 Redistricting Summary Data File,P2,,2020,,Demographic,Population,Total population,,PopChange_1990to2020
NHWhite_2020,Non-Hispanic White,"# Non-Hispanic White, 2020",Count,,Census 2020 Redistricting Summary Data File,P2,,2020,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
NHBlack_2020,Non-Hispanic Black,"# Non-Hispanic Black, 2020",Count,,Census 2020 Redistricting Summary Data File,P2,,2020,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
NHAsianPI_2020,Non-Hispanic Asian or Pacific Islander,"# Non-Hispanic Asian or Pacific Islander, 2020",Count,,Census 2020 Redistricting Summary Data File,P2,,2020,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
NHOtherRace_2020,Non-Hispanic other race,"# Non-Hispanic other race, 2020",Count,,Census 2020 Redistricting Summary Data File,P2,,2020,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
Hispanic_2020,"Hispanic, all races","# Hispanic, all races, 2020",Count,,Census 2020 Redistricting Summary Data File,P2,,2020,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
AdultPop_2020,Adults,"# Adults, 2020",Count,,Census 2020 Redistricting Summary Data File,P4,,2020,,Demographic,Population by Age,Total population,,PopChange_1990to2020
AdultNHWhite_2020,Non-Hispanic White adults,"# Non-Hispanic White adults, 2020",Count,,Census 2020 Redistricting Summary Data File,P4,,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
AdultNHBlack_2020,Non-Hispanic Black adults,"# Non-Hispanic Black adults, 2020",Count,,Census 2020 Redistricting Summary Data File,P4,,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
AdultNHAsianPI_2020,Non-Hispanic Asian or Pacific Islander adults,"# Non-Hispanic Asian or Pacific Islander adults, 2020",Count,,Census 2020 Redistricting Summary Data File,P4,,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
